"Age-standardised prevalence of IGT, %",,,,
Montenegro,-,9.70,7.50,7.60
Morocco,-,7.40,9.20,8.70
Mozambique,-,11.40,6.60,7.80
Myanmar,-,8.70,10.10,10.30
Namibia,-,7.60,6.90,7.90
Nauru,-,9.60,8.00,8.50
Nepal,-,2.20,4.70,5.60
Netherlands,-,7.50,4.30,4.80
New Caledonia,-,11.10,7.90,8.50
New Zealand,-,12.30,9.40,10.40
Nicaragua,-,11.30,10.30,11.70
Niger,-,8.90,9.10,9.40
Nigeria,-,8.20,9.70,10.10
Niue,-,8.70,7.90,8.40
North Macedonia,-,9.60,7.50,7.70
Norway,-,7.40,7.80,9.20
Oman,-,9.60,6.80,7.40
Pakistan,-,8.50,9.80,10.40
Palau,-,9.40,7.80,8.50
Panama,-,6.00,11.60,12.40
Papua New Guinea,-,8.30,7.50,8.00
Paraguay,-,5.80,9.50,10.80
Peru,-,6.00,10.70,11.80
Philippines,-,14.30,6.60,7.40
Poland,-,16.40,7.90,8.60
Portugal,-,11.20,12.00,13.30
Puerto Rico,-,6.30,12.10,12.80
Qatar,-,16.60,18.10,19.60
Republic of Korea,-,12.20,14.80,15.50
Republic of Moldova,-,9.50,3.70,3.50
Romania,-,9.60,3.20,3.00
Russian Federation,-,10.00,2.20,2.10
Rwanda,-,9.20,16.50,20.90
Saint Kitts and Nevis,-,11.00,5.60,6.20
Saint Lucia,-,11.00,5.00,5.60
Saint Vincent and the Grenadines,-,10.90,5.30,6.00
Samoa,-,6.60,7.00,7.50
San Marino,-,7.60,9.40,10.40
Sao Tome and Principe,-,8.90,10.00,10.20
Saudi Arabia,-,1.30,17.20,19.40
Senegal,-,11.70,9.60,9.90
Serbia,-,9.60,7.50,7.70
Seychelles,-,9.10,9.70,10.10
Sierra Leone,-,11.20,9.50,9.90
Singapore,-,12.40,14.70,15.40
Slovakia,-,7.10,3.20,3.00
Slovenia,-,7.10,7.50,7.70
Solomon Islands,-,8.40,7.60,8.10
Somalia,-,11.20,21.50,27.40
South Africa,-,7.80,9.00,10.30
South Sudan,-,-,17.00,22.00
Spain,-,6.80,7.10,7.70
Sri Lanka,-,5.40,19.20,21.40
State of Palestine,-,5.30,5.60,5.90
Sudan,-,10.30,13.20,14.40
Suriname,-,10.70,12.60,13.80
Sweden,-,5.30,8.10,9.50
Switzerland,-,7.40,4.30,4.80
Syrian Arab Republic,-,7.40,8.60,9.10
"Taiwan, Province of China",-,10.60,14.80,15.50
Tajikistan,-,6.00,3.50,4.10
Thailand,-,8.70,15.90,16.60
Timor-Leste,-,8.50,10.10,10.40
Togo,-,11.80,9.50,9.90
Tonga,-,7.70,8.80,9.40
Trinidad and Tobago,-,11.10,5.60,6.20
Tunisia,-,7.40,8.80,8.50
Turkmenistan,-,9.50,3.80,4.40
Tuvalu,-,8.90,7.70,8.40
TÅrkiye,-,6.90,7.60,7.70
Uganda,-,8.60,18.10,23.70
Ukraine,-,10.00,2.50,2.40
United Arab Emirates,-,16.30,18.20,19.70
United Kingdom,-,7.40,5.40,5.80
United Republic of Tanzania,-,12.00,18.40,23.70
United States Virgin Islands,-,10.40,11.50,12.40
United States of America,-,10.60,11.50,12.50
Uruguay,-,6.20,12.10,12.80
Uzbekistan,-,5.90,3.70,4.30
Vanuatu,-,8.50,7.60,8.10
Venezuela (Bolivarian Republic of),-,6.30,11.40,12.20
Viet Nam,-,9.40,15.40,16.50
Western Sahara,-,-,10.10,10.40
Yemen,-,7.40,8.60,9.10
Zambia,-,10.90,6.40,7.40
Zimbabwe,-,5.50,5.10,5.70
