"Proportion of diabetes-related deaths in people 20-79 y, %",,,,
Saint Kitts and Nevis,-,-,21.70,-
Saint Lucia,-,-,19.20,-
Saint Vincent and the Grenadines,-,-,13.70,-
Samoa,-,-,16.00,-
San Marino,-,-,18.10,-
Sao Tome and Principe,-,-,8.00,-
Saudi Arabia,-,-,14.50,-
Senegal,-,-,2.00,-
Serbia,-,-,9.20,-
Seychelles,-,-,7.80,-
Sierra Leone,-,-,3.30,-
Singapore,-,-,26.20,-
Slovakia,-,-,8.40,-
Slovenia,-,-,15.00,-
Solomon Islands,-,-,8.50,-
Somalia,-,-,5.40,-
South Africa,-,-,5.40,-
South Sudan,-,-,4.00,-
Spain,-,-,13.70,-
Sri Lanka,-,-,3.90,-
State of Palestine,-,-,13.60,-
Sudan,-,-,17.10,-
Suriname,-,-,20.20,-
Sweden,-,-,12.50,-
Switzerland,-,-,10.60,-
Syrian Arab Republic,-,-,16.90,-
"Taiwan, Province of China",-,-,23.80,-
Tajikistan,-,-,5.90,-
Thailand,-,-,8.50,-
Timor-Leste,-,-,1.90,-
Togo,-,-,3.50,-
Tonga,-,-,14.60,-
Trinidad and Tobago,-,-,20.10,-
Tunisia,-,-,13.10,-
Turkmenistan,-,-,6.10,-
Tuvalu,-,-,15.20,-
TÅrkiye,-,-,12.20,-
Uganda,-,-,2.00,-
Ukraine,-,-,5.70,-
United Arab Emirates,-,-,10.90,-
United Kingdom,-,-,9.50,-
United Republic of Tanzania,-,-,9.20,-
United States Virgin Islands,-,-,17.60,-
United States of America,-,-,21.90,-
Uruguay,-,-,7.60,-
Uzbekistan,-,-,4.80,-
Vanuatu,-,-,13.50,-
Venezuela (Bolivarian Republic of),-,-,10.20,-
Viet Nam,-,-,1.80,-
Western Sahara,-,-,3.30,-
Yemen,-,-,5.80,-
Zambia,-,-,6.40,-
Zimbabwe,-,-,1.30,-
